                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4345,                 2.7979,                 1.6122,                0.85552,                 0.1231,                0.15575,                0.06247,                 2.1306,                   2.34,                 1.4325,               0.070294,              0.0033007,              0.0033007
                      1,                  2.072,                  1.867,                 1.3435,                0.47263,                 0.2963,                0.24293,                0.09832,                 2.1219,                 1.7688,                 1.3261,               0.040228,              0.0065683,              0.0065683
                      2,                 2.0757,                 1.6719,                 1.2758,                0.59843,                0.39319,                0.36804,                0.14839,                 2.0863,                 1.5986,                 1.2822,               0.010097,                0.00977,                0.00977
                      3,                 1.9941,                 1.5392,                 1.2306,                0.68457,                0.45491,                 0.4665,                0.19997,                  1.871,                 1.4335,                 1.1976,               0.009703,               0.009703,               0.009703
                      4,                 1.8543,                 1.4076,                 1.1851,                0.73472,                0.47884,                0.53014,                0.24831,                 1.6727,                 1.3159,                  1.158,               0.009703,               0.009703,               0.009703
                      5,                 1.7828,                 1.3263,                 1.1562,                0.61873,                0.57987,                0.59612,                0.29584,                 1.6547,                 1.2688,                 1.1303,               0.009604,               0.009604,               0.009604
                      6,                 1.7207,                 1.2742,                 1.1308,                0.60161,                0.64879,                0.65334,                0.33726,                 1.5962,                 1.1775,                 1.1067,               0.009505,               0.009505,               0.009505
                      7,                 1.6684,                 1.2189,                 1.1141,                0.67214,                0.63829,                0.66224,                0.34966,                 1.5612,                 1.1664,                 1.0929,               0.009406,               0.009406,               0.009406
                      8,                 1.6466,                 1.1911,                 1.0972,                0.72337,                0.65277,                0.69316,                0.37735,                 1.5093,                 1.1231,                 1.0822,               0.009307,               0.009307,               0.009307
                      9,                 1.5981,                 1.1456,                 1.0861,                0.74554,                0.67297,                 0.7235,                0.39011,                 1.5111,                 1.0747,                  1.062,               0.009208,               0.009208,               0.009208
                     10,                  1.582,                  1.123,                 1.0732,                0.77044,                0.68257,                0.74132,                0.40838,                 1.4758,                 1.0545,                 1.0508,               0.009109,               0.009109,               0.009109
                     11,                 1.5581,                 1.1065,                  1.064,                0.77575,                0.69737,                0.74437,                0.41401,                 1.4686,                 1.0344,                 1.0477,                0.00901,                0.00901,                0.00901
                     12,                 1.5306,                 1.0758,                 1.0578,                0.78166,                0.72281,                0.77108,                0.43537,                 1.4276,                 1.0074,                 1.0402,               0.008911,               0.008911,               0.008911
                     13,                 1.5184,                 1.0596,                 1.0538,                0.77987,                0.69114,                0.76939,                 0.4312,                 1.4285,                 1.0096,                 1.0427,               0.008812,               0.008812,               0.008812
                     14,                  1.511,                 1.0418,                 1.0481,                0.80613,                0.71831,                0.78847,                0.44927,                 1.4307,                0.97979,                   1.03,               0.008713,               0.008713,               0.008713
                     15,                  1.491,                 1.0249,                 1.0398,                0.82652,                0.72412,                0.79847,                0.45358,                 1.4302,                0.98061,                 1.0279,               0.008614,               0.008614,               0.008614
                     16,                 1.4862,                 1.0195,                 1.0377,                 0.8068,                0.74148,                 0.8043,                0.45494,                  1.428,                0.95734,                 1.0232,               0.008515,               0.008515,               0.008515
                     17,                 1.4641,                 1.0069,                 1.0314,                 0.7955,                0.74278,                0.79708,                0.45366,                 1.4075,                0.96204,                 1.0168,               0.008416,               0.008416,               0.008416
                     18,                 1.4623,                0.99538,                 1.0291,                0.80812,                0.72901,                0.80544,                0.46985,                 1.3494,                0.94069,                 1.0101,               0.008317,               0.008317,               0.008317
